OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
123 E 34TH ST,1023 East 14th Street,http://streeteasy.com/building/1023-east-14-street-brooklyn,Owned by: JORGE ESTRADA,0,,,0,,,0,,,0,,
124 E 34TH ST,1024 East 14th Street,http://streeteasy.com/building/1024-east-14-street-brooklyn,"Owned by: PALJEVIC, SAFIJE",0,,,0,,,0,,,0,,
125 E 34TH ST,1025 East 14th Street,http://streeteasy.com/building/1025-east-14-street-brooklyn,Owned by: WASSERMAN ALEXANDER,0,,,0,,,0,,,0,,
120 E 34TH ST,,http://streeteasy.com/building/the-murray-park,Owned by: 120 EAST 34TH STREETC,3750,"#11A - 120 East 34th Street
$3,750  NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-murray-park/11a,3650,"#16K - 120 East 34th Street
$3,650  NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-murray-park/16k,3495,"#10K - 120 East 34th Street
$3,495  NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-murray-park/10k,2850,"#14N - 120 East 34th Street
$2,850   NO FEE studio 1 bath",http://streeteasy.com/building/the-murray-park/14n
155 E 34TH ST,155 East 34th Street,http://streeteasy.com/building/155-east-34-street-new_york,Owned by: WARREN HOUSE CONDOMIN,1795000,"#19D - 155 East 34th Street
$1,795,000  4 rooms, 2 beds 2 baths 1,441 ft²",http://streeteasy.com/building/155-east-34-street-new_york/19d,1070000,"#18K - 155 East 34th Street
$1,070,000   3.5 rooms, 1 bed 1 bath 822 ft²",http://streeteasy.com/building/155-east-34-street-new_york/18k,625000,"#16J - 155 East 34th Street
$625,000   IN CONTRACT 2.5 rooms, studio 1 bath 574 ft²",http://streeteasy.com/building/155-east-34-street-new_york/16j,5495,"#15R - 155 East 34th Street
$5,495  5 rooms, 2 beds 2 baths 1,200 ft²",http://streeteasy.com/building/155-east-34-street-new_york/15r
208 E 34TH ST,34 East 208th Street,http://streeteasy.com/building/34-east-208-street-bronx,Owned by: 34 E. 208 CORP.,0,,,0,,,0,,,0,,
210 E 34TH ST,,http://streeteasy.com/building/210-east-34-street-new_york,Owned by: 210 E. 34 LLC,0,,,0,,,0,,,0,,
212 E 34TH ST,212 East 34th Street,http://streeteasy.com/building/212-east-34-street-brooklyn,Owned by: 212 REALTY E. 34TH LL,0,,,0,,,0,,,0,,
213 E 34TH ST,213 East 34th Street,http://streeteasy.com/building/213-east-34-street-brooklyn,"Owned by: ALLEN,EMETA",0,,,0,,,0,,,0,,
222 E 34TH ST,The Anthem,http://streeteasy.com/building/the-anthem,Owned by: ROSEBUD OWNER LLC,5675,"#2222 - 222 East 34th Street
$5,675   NO FEE 2 beds 2 baths",http://streeteasy.com/building/the-anthem/2222,5425,"#1723 - 222 East 34th Street
$5,425   2 beds 2 baths",http://streeteasy.com/building/the-anthem/1723,4075,"#709 - 222 East 34th Street
$4,075   NO FEE 1 bed 1 bath",http://streeteasy.com/building/the-anthem/709,3850,"#1803 - 222 E 34th Street
$3,850   1 bed 1 bath",http://streeteasy.com/building/the-anthem/1803
